Name,CustomerID,Age,Marital Status,Gender,Ethnicity,Education
Katherine Bettcher,0002-ORFBO,30,Married,Male,Caucasian,Master
 Alejandro Graham,0002-ORFBOA,71,Married,Male,Asian,Bachelor
Priscilla Ian,0002-ORFBOC,46,Seperated,Male,African American,Senior Secondary
Ovella,0002-ORFBOCH,42,Married,Female,Caucasian,Senior Secondary
Juliann,0002-ORFBOH,30,Married,Male,African American,Doctorate
Olaf,0002-ORFBOW,52,Unmarried,Female,Caucasian,Elementary
Kizer,0002-ORFBOX,65,Married,Male,Caucasian,Senior High School
Carmita,0002-ORFBOZ,25,Married,Female,African American,Bachelor
Mila Costillo,0003-MKNFE,37,Unmarried,Male,Caucasian,Senior Secondary
 Marcus Rowan,0003-MKNFEA,62,Unmarried,Male,Caucasian,Master
Candida Ida,0003-MKNFEC,46,Divorced,Male,Caucasian,Elementary
Perry,0003-MKNFECH,46,Married,Female,African American,Master
Julianna,0003-MKNFEH,77,Unmarried,Female,African American,Elementary
Orlo,0003-MKNFEW,52,Married,Female,African American,Master
Liedtke,0003-MKNFEX,40,Unmarried,Male,Caucasian,Elementary
Carmon,0003-MKNFEZ,42,Unmarried,Male,African American,Bachelor
Micki Link,0004-TLHLJ,64,Unmarried,Male,Caucasian,Bachelor
 Mark ,0004-TLHLJA,54,Unmarried,Male,African American,Master
Karon Ina,0004-TLHLJC,44,Married,Female,Asian,Master
Rufina,0004-TLHLJCH,55,Unmarried,Male,Caucasian,Master
Julianne,0004-TLHLJH,47,Married,Male,Caucasian,Bachelor
Ozell,0004-TLHLJW,45,Married,Female,Caucasian,Secondary
Marra,0004-TLHLJX,27,Unmarried,Female,Caucasian,Secondary
Caro,0004-TLHLJZ,49,Married,Female,Caucasian,Master
Charise Balog,0011-IGKFF,35,Unmarried,Female,Caucasian,Master
 Peter ,0011-IGKFFA,75,Married,Male,Caucasian,Senior Secondary
Prudence Inez,0011-IGKFFC,56,Married,Male,African American,Bachelor
Samuel,0011-IGKFFCH,53,Married,Female,Caucasian,Master
Julie,0011-IGKFFH,65,Married,Male,Asian,Doctorate
Pauline,0011-IGKFFW,48,Unmarried,Female,African American,Elementary
Godin,0011-IGKFFX,40,Unmarried,Female,Asian,Senior Secondary
Carol,0011-IGKFFZ,64,Unmarried,Female,Caucasian,Senior Secondary
Ophelia Crinklaw,0013-EXCHZ,72,Unmarried,Male,Caucasian,Bachelor
Liam,0013-EXCHZA,37,Married,Female,Asian,Elementary
Myrl Ira,0013-EXCHZC,51,Unmarried,Male,Asian,Bachelor
Suzy,0013-EXCHZCH,77,Unmarried,Female,Caucasian,Senior High School
Julienne,0013-EXCHZH,60,Married,Female,Asian,Senior Secondary
Reggie,0013-EXCHZW,31,Married,Male,Caucasian,Secondary
Arnhold,0013-EXCHZX,30,Unmarried,Male,Caucasian,Master
Carol-Jean,0013-EXCHZZ,85,Unmarried,Male,Caucasian,Elementary
Larraine Lybrand,0013-MHZWF,66,Unmarried,Female,African American,Elementary
Jacob,0013-MHZWFA,84,Married,Male,Caucasian,Elementary
Lissa Irene,0013-MHZWFC,48,Married,Female,Caucasian,Master
Sylvania,0013-MHZWFCH,28,Married,Female,Caucasian,Senior Secondary
Juliet,0013-MHZWFH,38,Unmarried,Male,Asian,Senior High School
Rolla,0013-MHZWFW,47,Unmarried,Female,Caucasian,Elementary
Musselwhite,0013-MHZWFX,41,Unmarried,Female,Caucasian,Master
Carola,0013-MHZWFZ,46,Married,Male,Caucasian,Master
Rigoberto Reagle,0013-SMEOE,41,Unmarried,Female,African American,Elementary
William,0013-SMEOEA,67,Unmarried,Female,African American,Doctorate
Mikel Iris,0013-SMEOEC,40,Widow,Male,Asian,Master
Terese,0013-SMEOECH,65,Unmarried,Male,Caucasian,Senior Secondary
Julieta,0013-SMEOEH,36,Unmarried,Female,Caucasian,Elementary
Rosco,0013-SMEOEW,60,Unmarried,Female,African American,Master
Tosi,0013-SMEOEX,49,Married,Male,African American,Senior High School
Carolan,0013-SMEOEZ,59,Unmarried,Male,Caucasian,High School
Fredricka Hornberger,0014-BMAQU,57,Unmarried,Female,African American,Bachelor
Mason,0014-BMAQUA,53,Unmarried,Male,Caucasian,Master
Yuri Irma,0014-BMAQUC,45,Married,Female,African American,High School
Teruko,0014-BMAQUCH,79,Unmarried,Female,Asian,Elementary
Julietta,0014-BMAQUH,30,Unmarried,Male,Caucasian,Master
Sheridan,0014-BMAQUW,38,Unmarried,Male,African American,Master
Gately,0014-BMAQUX,55,Unmarried,Female,Asian,Senior Secondary
Carolann,0014-BMAQUZ,63,Unmarried,Male,Asian,Bachelor
Chauncey Mccleery,0015-UOCOJ,38,Married,Male,Asian,Master
Ethan,0015-UOCOJA,63,Married,Male,African American,Senior Secondary
Jonas Irvin,0015-UOCOJC,55,Unmarried,Male,Asian,Master
Tess,0015-UOCOJCH,70,Married,Male,Caucasian,Bachelor
Juliette,0015-UOCOJH,50,Married,Male,Caucasian,Master
Vernell,0015-UOCOJW,32,Unmarried,Male,Caucasian,Senior Secondary
Leflore,0015-UOCOJX,70,Unmarried,Male,African American,Master
Carole,0015-UOCOJZ,44,Married,Male,Caucasian,Doctorate
Cassandra Flewelling,0016-QLJIS,70,Unmarried,Male,Caucasian,Senior Secondary
Michael,0016-QLJISA,55,Married,Female,Caucasian,Elementary
Santina Irving,0016-QLJISC,86,Unmarried,Female,Asian,Master
Theta,0016-QLJISCH,77,Unmarried,Female,Caucasian,Elementary
Julina,0016-QLJISH,71,Unmarried,Male,Asian,Senior Secondary
Williard,0016-QLJISW,67,Unmarried,Female,Asian,Master
Luth,0016-QLJISX,69,Unmarried,Male,Asian,Bachelor
Carolee,0016-QLJISZ,70,Unmarried,Male,Caucasian,Senior High School
Edith Santistevan,0017-DINOC,66,Married,Female,Caucasian,Master
Alexander,0017-DINOCA,46,Married,Male,African American,Bachelor
Corrine Isaac,0017-DINOCC,75,Unmarried,Female,Caucasian,Master
Trina,0017-DINOCCH,74,Unmarried,Female,Asian,Elementary
Juline,0017-DINOCH,84,Married,Female,Asian,Senior High School
Adolf,0017-DINOCW,54,Married,Male,Caucasian,Senior Secondary
Delp,0017-DINOCX,65,Unmarried,Male,Asian,Senior Secondary
Caroleen,0017-DINOCZ,64,Unmarried,Female,Asian,Bachelor
Micheline Camp,0017-IUDMW,40,Unmarried,Female,Caucasian,Master
James,0017-IUDMWA,67,Unmarried,Female,Caucasian,Master
Kara Isabel,0017-IUDMWC,58,Unmarried,Male,Caucasian,Senior Secondary
Valetta,0017-IUDMWCH,50,Unmarried,Female,African American,Elementary
Julissa,0017-IUDMWH,60,Unmarried,Female,African American,Senior Secondary
Alcide,0017-IUDMWW,84,Unmarried,Female,Caucasian,Master
Kinch,0017-IUDMWX,25,Unmarried,Female,African American,Senior Secondary
Carolie,0017-IUDMWZ,73,Married,Male,African American,Elementary
Angeline Cruickshank,0018-NYROU,56,Married,Male,African American,Master
Elijah,0018-NYROUA,64,Unmarried,Male,Caucasian,Senior High School
Noriko Isabella,0018-NYROUC,85,Unmarried,Male,Asian,Doctorate
Vanda,0018-NYROUCH,67,Married,Female,Caucasian,Bachelor
Julita,0018-NYROUH,34,Married,Female,African American,Master
Ansel,0018-NYROUW,85,Unmarried,Male,Caucasian,Senior High School
Kranz,0018-NYROUX,47,Married,Female,African American,Master
Carolin,0018-NYROUZ,67,Unmarried,Female,Caucasian,Bachelor
Shawana Lewandowski,0019-EFAEP,84,Unmarried,Male,Caucasian,Master
Benjamin,0019-EFAEPA,71,Unmarried,Male,Caucasian,Senior Secondary
Caron Isabelle,0019-EFAEPC,34,Unmarried,Male,African American,Senior Secondary
Vanita,0019-EFAEPCH,45,Unmarried,Male,Asian,Bachelor
June,0019-EFAEPH,74,Married,Male,Caucasian,Master
Armin,0019-EFAEPW,69,Unmarried,Female,Caucasian,Doctorate
Egli,0019-EFAEPX,56,Married,Female,Asian,Bachelor
Carolina,0019-EFAEPZ,28,Married,Female,Asian,Master
Vivian Piermarini,0019-GFNTW,46,Unmarried,Male,African American,Master
Daniel,0019-GFNTWA,40,Unmarried,Female,Asian,Master
Geoffrey Isaiah,0019-GFNTWC,31,Unmarried,Female,Caucasian,Bachelor
Velna,0019-GFNTWCH,51,Married,Male,Asian,Secondary
Junette,0019-GFNTWH,47,Unmarried,Female,Caucasian,Bachelor
Arno,0019-GFNTWW,68,Unmarried,Male,Caucasian,Bachelor
Duhart,0019-GFNTWX,46,Unmarried,Female,Caucasian,Bachelor
Caroline,0019-GFNTWZ,80,Married,Female,Caucasian,Bachelor
Earlene Streight,0020-INWCK,30,Married,Male,African American,Secondary
Aiden,0020-INWCKA,49,Unmarried,Male,African American,Doctorate
